work_key,author,source_site,page_title,page_url,birth_year,death_year,target,decision_reason,extraction_method,song_context,evidence_text,status
不詳/拙軒詞話,張侃,wikisource,,,,,,,,False,,missing_page
不詳/拙軒詞話,張侃,wikipedia,張侃,https://zh.wikipedia.org/wiki/%E5%BC%B5%E4%BE%83,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/指歸集,吳悟,wikisource,,,,,,,,False,,missing_page
不詳/指歸集,吳悟,wikisource,,,,,,,,False,,missing_page
不詳/指歸集,吳悟,wikipedia,,,,,,,,False,,missing_page
不詳/挽詞 (陳師道),陳師道,wikisource,Author:陳師道,https://zh.wikisource.org/wiki/Author:%E9%99%B3%E5%B8%AB%E9%81%93,1053,1101,北宋,death_year_1101_le_1127,categories,True,1053年出生；1101年逝世,resolved
不詳/揚州芍藥譜 (孔武仲),孔武仲,wikisource,,,,,,,,False,,missing_page
不詳/揚州芍藥譜 (孔武仲),孔武仲,wikisource,,,,,,,,False,,missing_page
不詳/揚州芍藥譜 (孔武仲),孔武仲,wikipedia,孔武仲,https://zh.wikipedia.org/wiki/%E5%AD%94%E6%AD%A6%E4%BB%B2,1042,1098,北宋,death_year_1098_le_1127,categories,True,1042年出生；1098年逝世,resolved
不詳/攝生月令,姚稱,wikisource,,,,,,,,False,,missing_page
不詳/攝生月令,姚稱,wikisource,,,,,,,,False,,missing_page
不詳/攝生月令,姚稱,wikipedia,,,,,,,,False,,missing_page
不詳/文仙,徐積,wikisource,,,,,,,,False,,missing_page
不詳/文仙,徐積,wikisource,,,,,,,,False,,missing_page
不詳/文仙,徐積,wikipedia,徐積,https://zh.wikipedia.org/wiki/%E5%BE%90%E7%A9%8D,1028,1103,北宋,death_year_1103_le_1127,categories,True,1028年出生；1103年逝世,resolved
不詳/斐然集,胡寅,wikisource,Author:胡寅,https://zh.wikisource.org/wiki/Author:%E8%83%A1%E5%AF%85,1098,1151,南宋,death_year_1151_gt_1127,categories,True,1098年出生；1151年逝世,resolved
不詳/春日遊湖上,徐俯,wikisource,Author:徐俯,https://zh.wikisource.org/wiki/Author:%E5%BE%90%E4%BF%AF,1075,1141,南宋,death_year_1141_gt_1127,categories+wikitext_lifespan,True,1075年出生 | 1075年－1141年,resolved
不詳/春日隄上,項安世,wikisource,,,,,,,,False,,missing_page
不詳/春日隄上,項安世,wikisource,,,,,,,,False,,missing_page
不詳/春日隄上,項安世,wikipedia,项安世,https://zh.wikipedia.org/wiki/%E9%A1%B9%E5%AE%89%E4%B8%96,1153,1208,南宋,death_year_1208_gt_1127,categories,True,1153年出生；1208年逝世,resolved
不詳/春暮,曹豳,wikisource,,,,,,,,False,,missing_page
不詳/春暮,曹豳,wikisource,,,,,,,,False,,missing_page
不詳/春暮,曹豳,wikipedia,,,,,,,,False,,missing_page
不詳/春暮遊小園,王淇,wikisource,,,,,,,,False,,missing_page
不詳/春暮遊小園,王淇,wikisource,,,,,,,,False,,missing_page
不詳/春暮遊小園,王淇,wikipedia,,,,,,,,False,,missing_page
不詳/昭君怨 (万俟雅言),万俟雅言,wikisource,Author:万俟雅言,https://zh.wikisource.org/wiki/Author:%E4%B8%87%E4%BF%9F%E9%9B%85%E8%A8%80,,,,insufficient_date_evidence,no_dates,True,,no_usable_date
不詳/昭君怨 (万俟雅言),万俟雅言,wikipedia,,,,,,,,False,,missing_page
不詳/昭州自強齋,徐俯,wikisource,Author:徐俯,https://zh.wikisource.org/wiki/Author:%E5%BE%90%E4%BF%AF,1075,1141,南宋,death_year_1141_gt_1127,categories+wikitext_lifespan,True,1075年出生 | 1075年－1141年,resolved
不詳/昭靈夫人祠詩,晁以道,wikisource,,,,,,,,False,,missing_page
不詳/昭靈夫人祠詩,晁以道,wikisource,,,,,,,,False,,missing_page
不詳/昭靈夫人祠詩,晁以道,wikipedia,晁說之,https://zh.wikipedia.org/wiki/%E6%99%81%E8%AA%AA%E4%B9%8B,1059,1129,南宋,death_year_1129_gt_1127,categories,True,1059年出生；1129年逝世,resolved
不詳/晁無咎張文潛見過,陳師道,wikisource,Author:陳師道,https://zh.wikisource.org/wiki/Author:%E9%99%B3%E5%B8%AB%E9%81%93,1053,1101,北宋,death_year_1101_le_1127,categories,True,1053年出生；1101年逝世,resolved
不詳/時賢本事曲子集,楊繪,wikisource,,,,,,,,False,,missing_page
不詳/時賢本事曲子集,楊繪,wikisource,,,,,,,,False,,missing_page
不詳/時賢本事曲子集,楊繪,wikipedia,楊繪,https://zh.wikipedia.org/wiki/%E6%A5%8A%E7%B9%AA,1027,1088,北宋,death_year_1088_le_1127,categories,True,1027年出生；1088年逝世,resolved
不詳/景定嚴州續誌,方仁榮,wikisource,,,,,,,,False,,missing_page
不詳/景定嚴州續誌,方仁榮,wikisource,,,,,,,,False,,missing_page
不詳/景定嚴州續誌,方仁榮,wikipedia,,,,,,,,False,,missing_page
不詳/景定嚴州續誌,鄭瑤,wikisource,,,,,,,,False,,missing_page
不詳/景定嚴州續誌,鄭瑤,wikisource,,,,,,,,False,,missing_page
不詳/景定嚴州續誌,鄭瑤,wikipedia,,,,,,,,False,,missing_page
不詳/暑雨,陳師道,wikisource,Author:陳師道,https://zh.wikisource.org/wiki/Author:%E9%99%B3%E5%B8%AB%E9%81%93,1053,1101,北宋,death_year_1101_le_1127,categories,True,1053年出生；1101年逝世,resolved
不詳/暮春即事,葉采,wikisource,,,,,,,,False,,missing_page
不詳/暮春即事,葉采,wikisource,,,,,,,,False,,missing_page
不詳/暮春即事,葉采,wikipedia,,,,,,,,False,,missing_page
不詳/暮春山間,黃公度,wikisource,,,,,,,,False,,missing_page
不詳/暮春山間,黃公度,wikisource,,,,,,,,False,,missing_page
