priority,reason,work_key,authors,unresolved_authors,resolved_targets,file_count,titles,target,note
low,one_or_more_authors_have_no_usable_date,不詳/太上混元老子史略,謝守灝,謝守灝,,1,,,
low,no_author_candidate,不詳/太平廣記,,,,500,太平廣記 | 太平廣記__juan_01.txt | 太平廣記/卷第001 | 太平廣記__juan_02.txt | 太平廣記/卷第002 | 太平廣記__juan_03.txt,,
low,no_author_candidate,不詳/太平惠民和劑局方,,,,1,太平惠民和劑局方 | 太平惠民和劑局方__juan_01.txt | 太平惠民和劑局方/卷之一,,
low,no_author_candidate,不詳/女科百問,,,,2,女科百問 | 女科百問__juan_01.txt | 女科百問/卷上 | 女科百問__juan_02.txt | 女科百問/卷下,,
low,one_or_more_authors_have_no_usable_date,不詳/好事近 (蔣子雲),蔣子雲,蔣子雲,,1,,,
low,no_author_candidate,不詳/如淨和尚語錄,,,,2,如淨和尚語錄 | 如淨和尚語錄__juan_01.txt | 如淨和尚語錄/卷001 | 如淨和尚語錄__juan_02.txt | 如淨和尚語錄/卷002,,
low,one_or_more_authors_have_no_usable_date,不詳/姓解,邵思,邵思,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/娛書堂詩話,趙與虤,趙與虤,,1,,,
low,no_author_candidate,不詳/婦人大全良方,,,,23,婦人大全良方 | 婦人大全良方__juan_01.txt | 婦人大全良方/卷一 | 婦人大全良方__juan_02.txt | 婦人大全良方/卷二 | 婦人大全良方__juan_03.txt,,
low,no_author_candidate,不詳/孔子集語,,,,17,孔子集語 | 孔子集語__juan_01.txt | 孔子集語/卷01 | 孔子集語__juan_02.txt | 孔子集語/卷02 | 孔子集語__juan_03.txt,,
low,no_author_candidate,不詳/守城錄,,,,4,守城錄 | 守城錄__juan_01.txt | 守城錄/卷1 | 守城錄__juan_02.txt | 守城錄/卷2 | 守城錄__juan_03.txt,,
high,review,不詳/宋太宗實錄,錢若水,,,20,,北宋,target_work_folder_exists
low,one_or_more_authors_have_no_usable_date,不詳/宋故武功大夫河東第二將折公墓誌銘,范圭,范圭,,1,,,
low,no_author_candidate,不詳/宋朝名畫評,,,,3,宋朝名畫評 | 宋朝名畫評__juan_01.txt | 宋朝名畫評/卷一 | 宋朝名畫評__juan_02.txt | 宋朝名畫評/卷二 | 宋朝名畫評__juan_03.txt,,
