folder_type,corpus_root,category,work_folder,pageid,work_title,display_title,page_title,author,times,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷27,,,27,中國漢文\raw\三國\全三國文\全三國文__juan_27.txt,中國漢文\clean\三國\全三國文\全三國文__juan_27.txt,7199,7085,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷28,,,28,中國漢文\raw\三國\全三國文\全三國文__juan_28.txt,中國漢文\clean\三國\全三國文\全三國文__juan_28.txt,8541,8379,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷29,,,29,中國漢文\raw\三國\全三國文\全三國文__juan_29.txt,中國漢文\clean\三國\全三國文\全三國文__juan_29.txt,5561,5465,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷30,,,30,中國漢文\raw\三國\全三國文\全三國文__juan_30.txt,中國漢文\clean\三國\全三國文\全三國文__juan_30.txt,8019,7930,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷31,,,31,中國漢文\raw\三國\全三國文\全三國文__juan_31.txt,中國漢文\clean\三國\全三國文\全三國文__juan_31.txt,8711,8614,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷32,,,32,中國漢文\raw\三國\全三國文\全三國文__juan_32.txt,中國漢文\clean\三國\全三國文\全三國文__juan_32.txt,7624,7513,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷33,,,33,中國漢文\raw\三國\全三國文\全三國文__juan_33.txt,中國漢文\clean\三國\全三國文\全三國文__juan_33.txt,6075,5971,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷34,,,34,中國漢文\raw\三國\全三國文\全三國文__juan_34.txt,中國漢文\clean\三國\全三國文\全三國文__juan_34.txt,6027,5933,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷35,,,35,中國漢文\raw\三國\全三國文\全三國文__juan_35.txt,中國漢文\clean\三國\全三國文\全三國文__juan_35.txt,6019,5916,0
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷36,,,36,中國漢文\raw\三國\全三國文\全三國文__juan_36.txt,中國漢文\clean\三國\全三國文\全三國文__juan_36.txt,7529,7429,0
