folder_type,corpus_root,category,work_folder,pageid,work_title,display_title,page_title,author,times,juan_count,min_juan_index,max_juan_index,total_char_count_raw,total_char_count_clean,empty_juan_count,example_raw_path,example_clean_path
clean,中國漢文,三國,佛說黑氏梵志經,,佛說黑氏梵志經,佛說黑氏梵志經,佛說黑氏梵志經,,,1,1,1,1629,1592,0,中國漢文\raw\三國\佛說黑氏梵志經\佛說黑氏梵志經__juan_01.txt,中國漢文\clean\三國\佛說黑氏梵志經\佛說黑氏梵志經__juan_01.txt
clean,中國漢文,三國,佛說齋經,,佛說齋經,佛說齋經,佛說齋經,,,1,1,1,1911,1874,0,中國漢文\raw\三國\佛說齋經\佛說齋經__juan_01.txt,中國漢文\clean\三國\佛說齋經\佛說齋經__juan_01.txt
clean,中國漢文,三國,佛說龍施女經,,佛說龍施女經,佛說龍施女經,佛說龍施女經,,,1,1,1,1045,1008,0,中國漢文\raw\三國\佛說龍施女經\佛說龍施女經__juan_01.txt,中國漢文\clean\三國\佛說龍施女經\佛說龍施女經__juan_01.txt
clean,中國漢文,三國,佛開解梵志阿颰經,,佛開解梵志阿颰經,佛開解梵志阿颰經,佛開解梵志阿颰經,,,1,1,1,7712,7666,0,中國漢文\raw\三國\佛開解梵志阿颰經\佛開解梵志阿颰經__juan_01.txt,中國漢文\clean\三國\佛開解梵志阿颰經\佛開解梵志阿颰經__juan_01.txt
clean,中國漢文,三國,侍五官中郎將建章臺集詩,,侍五官中郎將建章臺集詩,侍五官中郎將建章臺集詩,侍五官中郎將建章臺集詩,,,1,1,1,236,199,0,中國漢文\raw\三國\侍五官中郎將建章臺集詩\侍五官中郎將建章臺集詩__juan_01.txt,中國漢文\clean\三國\侍五官中郎將建章臺集詩\侍五官中郎將建章臺集詩__juan_01.txt
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷1,,,76,1,76,519715,511800,0,中國漢文\raw\三國\全三國文\全三國文__juan_01.txt,中國漢文\clean\三國\全三國文\全三國文__juan_01.txt
clean,中國漢文,三國,公讌 (應瑒),,公讌 (應瑒),公讌 (應瑒),公讌 (應瑒),,,1,1,1,128,91,0,中國漢文\raw\三國\公讌 (應瑒)\公讌 (應瑒)__juan_01.txt,中國漢文\clean\三國\公讌 (應瑒)\公讌 (應瑒)__juan_01.txt
clean,中國漢文,三國,六度集經,,六度集經,六度集經,六度集經/01,,,8,1,8,81341,81304,0,中國漢文\raw\三國\六度集經\六度集經__juan_01.txt,中國漢文\clean\三國\六度集經\六度集經__juan_01.txt
clean,中國漢文,三國,典语,,典语,典语,典语/全览,,,10,1,10,6923,6887,0,中國漢文\raw\三國\典语\典语__juan_01.txt,中國漢文\clean\三國\典语\典语__juan_01.txt
clean,中國漢文,三國,別詩 (應瑒),,別詩 (應瑒),別詩 (應瑒),別詩 (應瑒),,,1,1,1,154,117,0,中國漢文\raw\三國\別詩 (應瑒)\別詩 (應瑒)__juan_01.txt,中國漢文\clean\三國\別詩 (應瑒)\別詩 (應瑒)__juan_01.txt
clean,中國漢文,三國,前出師表,,前出師表,前出師表,前出師表,,,1,1,1,856,780,0,中國漢文\raw\三國\前出師表\前出師表__juan_01.txt,中國漢文\clean\三國\前出師表\前出師表__juan_01.txt
clean,中國漢文,三國,劉公幹集,,劉公幹集,劉公幹集,劉公幹集/內文,,,2,1,2,3326,3248,0,中國漢文\raw\三國\劉公幹集\劉公幹集__juan_01.txt,中國漢文\clean\三國\劉公幹集\劉公幹集__juan_01.txt
clean,中國漢文,三國,劾曹爽奏,,劾曹爽奏,劾曹爽奏,劾曹爽奏,,,1,1,1,494,413,0,中國漢文\raw\三國\劾曹爽奏\劾曹爽奏__juan_01.txt,中國漢文\clean\三國\劾曹爽奏\劾曹爽奏__juan_01.txt
clean,中國漢文,三國,勸將士勤攻己闕教,,勸將士勤攻己闕教,勸將士勤攻己闕教,勸將士勤攻己闕教,,,1,1,1,271,234,0,中國漢文\raw\三國\勸將士勤攻己闕教\勸將士勤攻己闕教__juan_01.txt,中國漢文\clean\三國\勸將士勤攻己闕教\勸將士勤攻己闕教__juan_01.txt
clean,中國漢文,三國,南征教,,南征教,南征教,南征教,,,1,1,1,136,52,0,中國漢文\raw\三國\南征教\南征教__juan_01.txt,中國漢文\clean\三國\南征教\南征教__juan_01.txt
clean,中國漢文,三國,又稱蔣琬,,又稱蔣琬,又稱蔣琬,又稱蔣琬,,,1,1,1,139,57,0,中國漢文\raw\三國\又稱蔣琬\又稱蔣琬__juan_01.txt,中國漢文\clean\三國\又稱蔣琬\又稱蔣琬__juan_01.txt
clean,中國漢文,三國,周易正義,,周易正義,周易正義,周易正義/01乾,,,98,1,98,282979,279269,0,中國漢文\raw\三國\周易正義\周易正義__juan_01.txt,中國漢文\clean\三國\周易正義\周易正義__juan_01.txt
clean,中國漢文,三國,報趙淑麗,,報趙淑麗,報趙淑麗,報趙淑麗,,,1,1,1,108,71,0,中國漢文\raw\三國\報趙淑麗\報趙淑麗__juan_01.txt,中國漢文\clean\三國\報趙淑麗\報趙淑麗__juan_01.txt
clean,中國漢文,三國,報龐惠恭書,,報龐惠恭書,報龐惠恭書,報龐惠恭書,,,1,1,1,265,228,0,中國漢文\raw\三國\報龐惠恭書\報龐惠恭書__juan_01.txt,中國漢文\clean\三國\報龐惠恭書\報龐惠恭書__juan_01.txt
clean,中國漢文,三國,大明度經,,大明度經,大明度經,大明度經/卷第一,,,6,1,6,54973,54707,0,中國漢文\raw\三國\大明度經\大明度經__juan_01.txt,中國漢文\clean\三國\大明度經\大明度經__juan_01.txt
