"chars","n"
"盟",281843
"頌",281613
"脾",281437
"偶",280918
"讓",280492
"綱",280303
"㫖",280047
"彌",279929
"荆",279789
"繫",279582
"災",279385
"洲",279373
"徙",279325
"倚",279320
"兆",279165
"抵",279148
"般",279088
"隋",278875
"談",278554
"漏",278163
"攝",277720
"幼",277578
"时",277444
"寇",277268
"署",276681
"耕",275941
"卑",275933
"乗",275816
"茶",275811
"輩",274921
"輪",273226
"牙",272870
"貌",272544
"飾",272147
"該",271539
"鴻",271538
"雞",271387
"鹿",270872
"環",270810
"醫",270421
"穴",270393
"傾",270388
"揮",270244
"單",270097
"鮮",270040
"膏",269930
"肝",269173
"紛",268653
"活",268488
"寵",268391
"懸",267333
"苑",267233
"惑",266826
"係",266730
"座",266705
"沉",266302
"隔",266185
"肆",266052
"陷",265471
"慕",265332
"禦",265048
"擬",264950
"匹",264659
"啓",264334
"藝",263834
"塘",263822
"勉",263012
"寢",262530
"淳",262441
"戴",262186
"领",261450
"借",261313
"泥",260967
"卻",260682
"晝",260485
"泣",260475
"恒",259646
"肺",259265
"岳",258958
"潛",258680
"苟",258115
"項",257793
"覽",257548
"慧",257527
"闗",256666
"貪",256560
"浙",256199
"燈",255581
"謙",255499
"妃",254954
"誦",254843
"遵",254360
"琴",253907
"付",253599
"預",253419
"打",253237
"釐",253047
"眞",252842
"亮",252351
"躬",252239
"抑",252000
"葛",251963
"舒",251140
"趨",250846
"壇",250688
"遼",249985
"荷",248869
"慰",248855
"峰",248784
"韋",248082
"旌",247700
"怪",247411
"吕",246783
"詠",246744
"缺",246407
"淺",245938
"普",245930
"冊",245667
"蒲",245560
"像",245548
"停",245083
"嗚",244817
"酌",244686
"柱",244680
"发",244426
"逃",243780
"塗",243303
"悔",242991
"謁",242854
"弊",242509
"倍",242394
"基",242376
"援",242119
"獸",242112
"片",242109
"寫",242092
"彭",241677
"尸",241483
"憐",241410
"裁",240882
"悟",240681
"銅",240668
"妾",240246
"賔",239710
"徃",238970
"戲",237899
"橫",237794
"究",237524
"段",237363
"炙",237329
"話",237252
"暗",237247
"繁",237205
"浸",236817
"齒",236507
"帛",235797
"完",235768
"靡",235563
"戚",235347
"嗟",235238
"紙",234331
"頓",233274
"閉",233017
"咎",232709
"弘",232651
"鐘",232491
"簿",232487
"瞻",232317
"粟",232002
"辱",231908
"兹",231438
"矢",231271
"爻",231257
"乳",231137
"驗",231117
"豪",230939
"曽",230815
"旱",230653
"廉",228844
"呂",228200
"厲",227318
"毋",227133
"当",227014
"奠",226975
"敕",226711
"擢",226467
"俊",226227
"狂",226216
"俟",225968
"包",225909
"斤",225651
"禄",225598
"厭",225429
"束",225362
"敏",224534
"閑",224524
"巧",224389
"帖",224266
"陣",224046
"巨",223716
"拘",223596
"汁",223562
"脈",223421
"驅",223059
"曆",222756
"買",222474
"製",222367
"蕩",222214
"潤",221651
"拔",221558
"罰",221436
"董",221433
"趣",220925
"舌",220852
"辦",220793
"凝",220627
"暑",220588
"蓮",220369
"歟",220249
"局",220199
"尙",219465
"劍",219402
"鼻",219386
"錯",219238
"粉",218930
"薛",218884
"愧",217871
"藩",217498
"髮",217306
"蛇",217284
"觸",217248
"諡",217097
"燒",216803
"呉",216714
"隠",216342
"掩",215999
"俾",215688
"麥",215098
"植",215083
"从",215028
"渾",214916
"焚",214837
"夀",214617
"馮",214213
"禽",213785
"浩",213602
"貨",213545
"浦",213347
"冀",213153
"驛",213022
"點",212784
"緩",212772
"増",212325
"遭",212271
"乆",212014
"敦",211966
"巻",211506
"蕃",211485
"篤",211364
"賴",211222
"徽",210951
"叛",210902
"敷",210472
"駐",209456
"迷",209363
"激",209093
"昧",209082
"鏡",209015
"場",208198
"蟲",208046
"朋",208032
"查",207954
"融",207939
"魂",207818
"浪",207682
"赦",207650
"桐",207320
"拾",206898
"遽",206836
"衍",206458
"柴",206094
"宻",205612
"奈",205564
"烟",204847
"晴",204646
"畝",204539
"蠻",203623
"亨",203350
"互",203302
"憶",203234
"捨",203069
"畧",202957
"畜",202916
"竭",202568
"焦",202502
"鄰",202451
"途",202422
"眉",201527
"零",201468
"阻",201177
"壞",200709
"黎",200401
"衝",200361
"頂",199604
"饑",199306
"暇",199265
"脩",199080
"峯",198562
"朴",198173
"伤",197995
"胸",197667
"做",197210
"筵",197049
"晦",196931
"練",196747
"腰",196423
"旬",196415
"茅",196231
"番",195892
"霞",195339
"傍",195270
"濕",195193
"炎",194987
"顏",194973
"涼",194831
"见",194764
"穿",194225
"屏",193947
"淚",193887
"澄",193663
"返",193638
"件",193502
"飯",193490
"快",193268
"育",193054
"虜",192934
"婆",192758
"斂",192715
"磨",192662
"突",192282
"協",192161
"袁",191956
"准",191905
"奮",191734
"展",191459
"匪",191307
"輸",191175
"染",191142
"綠",190921
"俯",190857
"衞",190778
"麟",190388
"幹",190187
"牲",189965
"呈",189953
"枯",189741
"料",189703
"卧",189217
"秩",188950
"与",188657
"喻",188528
"偽",188375
"採",188180
"績",188179
"晨",188053
"迹",187869
"價",187367
"燭",187290
"参",187193
"奸",187067
"陞",187058
"殆",187053
"寛",186861
"涉",186295
"稅",186211
"儉",186013
"姚",185909
"细",185766
"斜",185330
"悠",185291
"嶽",184561
"坡",184425
"湘",184332
"晩",183890
"徹",183273
"彦",183161
"𢎞",183143
"艱",182995
"鄙",182831
"昨",182639
"寓",182562
"静",182354
"標",182273
"蔽",182032
"淫",181542
"訖",181330
