character,laoguoyin,zhuyin,ipa,codepoint
傭,chung1,ㄔㄨㄥ1,ʈʂʰʊŋ1,U+50AD
傭,yung2,,,U+50AD
傲,au,ㄠ,ɑʊ,U+50B2
傲,ngau4,ㄫㄠ4,ŋɑʊ4,U+50B2
傳,chuan2,ㄔㄨㄢ2,ʈʂʰuan2,U+50B3
傳,zhuan4,ㄓㄨㄢ4,ʈʂuan4,U+50B3
債,zhai4,ㄓㄞ4,ʈʂaɪ4,U+50B5
傷,shang1,ㄕㄤ1,ʂɑŋ1,U+50B7
傻,sha3,ㄕㄚ3,ʂa3,U+50BB
傾,qing1,ㄑㄧㄥ1,,U+50BE
僂,lyu3,ㄌㄩ3,ly3,U+50C2
僇,lu5,ㄌㄨ5,lu5,U+50C7
僈,man4,ㄇㄢ4,man4,U+50C8
僉,cian1,ㄘㄧㄢ1,tsʰiɛn1,U+50C9
僎,zhuan4,ㄓㄨㄢ4,ʈʂuan4,U+50CE
僎,zhun1,ㄓㄨㄣ1,ʈʂuən1,U+50CE
像,siang4,ㄙㄧㄤ4,,U+50CF
僑,qiau2,ㄑㄧㄠ2,tɕʰiɑʊ2,U+50D1
僕,pu5,ㄆㄨ5,pʰu5,U+50D5
僚,liau2,ㄌㄧㄠ2,liɑʊ2,U+50DA
僤,chan3,ㄔㄢ3,ʈʂʰan3,U+50E4
僤,dan4,ㄉㄢ4,tan4,U+50E4
僤,shan2,ㄕㄢ2,ʂan2,U+50E4
僥,jiau3,ㄐㄧㄠ3,tɕiɑʊ3,U+50E5
僧,seng1,ㄙㄥ1,səŋ1,U+50E7
僭,zian4,ㄗㄧㄢ4,tsiɛn4,U+50ED
僱,gu4,ㄍㄨ4,ku4,U+50F1
僵,jiang1,ㄐㄧㄤ1,,U+50F5
價,jia4,ㄐㄧㄚ4,tɕiɑ4,U+50F9
僻,pi5,ㄆㄧ5,pʰi5,U+50FB
儀,yi2,ㄧ2,i2,U+5100
儂,nung2,ㄋㄨㄥ2,nʊŋ2,U+5102
儃,shan2,ㄕㄢ2,ʂan2,U+5103
儃,tan3,ㄊㄢ3,tʰan3,U+5103
億,yi5,ㄧ5,i5,U+5104
儒,ru2,ㄖㄨ2,ʐu2,U+5112
儕,chai2,ㄔㄞ2,ʈʂʰaɪ2,U+5115
儗,ngai4,ㄫㄞ4,ŋaɪ4,U+5117
儗,nji3,ㄬㄧ3,ɲi3,U+5117
儘,zin3,ㄗㄧㄣ3,tsin3,U+5118
償,chang2,ㄔㄤ2,ʈʂʰɑŋ2,U+511F
償,shang4,ㄕㄤ4,ʂɑŋ4,U+511F
儡,luei3,ㄌㄨㄟ3,lueɪ3,U+5121
優,yeu1,ㄧㄡ1,iɔʊ1,U+512A
儷,li4,ㄌㄧ4,li4,U+5137
儼,ian3,ㄧㄢ3,iɛn3,U+513C
允,yun3,,,U+5141
元,ian,ㄧㄢ,iɛn,U+5143
兄,xyung1,ㄒㄩㄥ1,ɕyŋ1,U+5144
充,chung1,ㄔㄨㄥ1,ʈʂʰʊŋ1,U+5145
兆,zhau4,ㄓㄠ4,ʈʂɑʊ4,U+5146
兇,xyung1,ㄒㄩㄥ1,ɕyŋ1,U+5147
先,en,ㄣ,ən,U+5148
先,sian1,ㄙㄧㄢ1,siɛn1,U+5148
光,guang1,ㄍㄨㄤ1,,U+5149
克,k,ㄎ,kʰ,U+514B
克,keo5,ㄎㄜ5,kʰɤ5,U+514B
兌,duei4,ㄉㄨㄟ4,tueɪ4,U+514C
免,mian3,ㄇㄧㄢ3,miɛn3,U+514D
免,wen4,ㄨㄣ4,uən4,U+514D
兎,tu4,ㄊㄨ4,tʰu4,U+514E
兒,er,ㄦ,əɻ,U+5152
兒,er2,ㄦ2,əɻ2,U+5152
兒,r,ㄦ,əɻ,U+5152
兔,tu4,ㄊㄨ4,tʰu4,U+5154
兜,deu1,ㄉㄡ1,toʊ1,U+515C
入,do,ㄉㄛ,tɔ,U+5165
入,r,ㄦ,əɻ,U+5165
入,ru5,ㄖㄨ5,ʐu5,U+5165
內,nuei4,ㄋㄨㄟ4,nueɪ4,U+5167
全,cyuan2,ㄘㄩㄢ2,,U+5168
兩,liang3,ㄌㄧㄤ3,,U+5169
八,ba5,ㄅㄚ5,pa5,U+516B
八,e,ㄝ,ɛ,U+516B
八,eur,ㄡㄦ,,U+516B
八,o5,ㄛ5,ɔ5,U+516B
公,gung1,ㄍㄨㄥ1,kʊŋ1,U+516C
六,e,ㄝ,ɛ,U+516D
六,lu5,ㄌㄨ5,lu5,U+516D
六,or,ㄛㄦ,,U+516D
共,gung4,ㄍㄨㄥ4,kʊŋ4,U+5171
其,qi2,ㄑㄧ2,tɕʰi2,U+5176
具,jyu4,ㄐㄩ4,tɕy4,U+5177
兼,jian1,ㄐㄧㄢ1,tɕiɛn1,U+517C
冂,jyung3,ㄐㄩㄥ3,tɕyŋ3,U+5182
冂,njian3,ㄬㄧㄢ3,ɲiɛn3,U+5182
冊,ceo5,ㄘㄜ5,tsʰɤ5,U+518A
册,ceo5,ㄘㄜ5,tsʰɤ5,U+518C
再,zai4,ㄗㄞ4,tsaɪ4,U+518D
冒,mau4,ㄇㄠ4,mɑʊ4,U+5192
冒,meo5,ㄇㄜ5,mɤ5,U+5192
冕,mian3,ㄇㄧㄢ3,miɛn3,U+5195
冠,guan1,ㄍㄨㄢ1,kuan1,U+51A0
冠,guan4,ㄍㄨㄢ4,kuan4,U+51A0
冤,yuan1,ㄩㄢ1,,U+51A4
