source_title,relation,target,template
险,zh-see,險,zh-see
隆,alt,𤯲,zh-forms
隆,alt,𨹠,zh-forms
隆,alt,𨹿,zh-forms
隆,alt,𨺓,zh-forms
隆,alt,𨺚,zh-forms
隆,alt,𨺼,zh-forms
隆,alt,𨻦,zh-forms
隆,alt,𨼇,zh-forms
隖,zh-see,塢,zh-see
仁,alt,𡰥,zh-forms
仁,alt,忎,zh-forms
仁,alt,忈,zh-forms
伟,Han simp:1,偉,Han simp
伟,zh-see,偉,zh-see
借,alt,𠎥,zh-forms
借,alt,徣,zh-forms
借,zh-see,藉,zh-see
倲,s,㑈,zh-forms
健,alt,徤,zh-forms
僥,s,侥,zh-forms
匆,alt,悤,zh-forms
匆,alt,怱,zh-forms
匆,alt,忩,zh-forms
匆,alt,匇,zh-forms
厩,zh-see,廄,zh-see
奘,alt,弉,zh-forms
奘,alt,𡘾,zh-forms
寓,alt,庽,zh-forms
屏,alt,屛,zh-forms
屏,zh-see,摒,zh-see
巡,alt,廵,zh-forms
巡,alt,𡿽,zh-forms
巡,alt,𨑾,zh-forms
巡,alt,𨊩,zh-forms
帮,Han simp:1,幚,Han simp
帮,zh-see,幫,zh-see
帶,s,带,zh-forms
帶,alt,帯,zh-forms
帶,s,带,zh-forms
帶,alt,地,zh-forms
帶,alt,塊,zh-forms
帶,alt,處,zh-forms
帶,s,带,zh-forms
幣,s,币,zh-forms
庄,zh-see,莊,zh-see
庄,zh-see,廡,zh-see
应,zh-see,應,zh-see
庙,Han simp:1,廟,Han simp
庙,zh-see,廟,zh-see
废,Han simp:1,廢,Han simp
废,zh-see,廢,zh-see
废,zh-see,癈,zh-see
庶,alt,庻,zh-forms
庶,alt,𢉙,zh-forms
庶,alt,𠪌,zh-forms
廣,s,广,zh-forms
廣,alt,広,zh-forms
廣,alt,𭙛,zh-forms
弑,zh-see,弒,zh-see
弹,zh-see,彈,zh-see
弼,alt,弻,zh-forms
弼,alt,拂,zh-forms
弼,alt,𢐀,zh-forms
弼,alt,𢐜,zh-forms
彙,s,汇,zh-forms
彙,alt,彚,zh-forms
彙,alt,𢑥,zh-forms
彙,alt,𢑷,zh-forms
彙,alt,𢑭,zh-forms
彙,alt,𢑤,zh-forms
彙,alt,𣉰,zh-forms
彙,alt,𢍖,zh-forms
彙,alt,𡻼,zh-forms
彙,alt,蝟,zh-forms
彝,t2,彞,zh-forms
彝,alt,彛,zh-forms
彝,alt,彜,zh-forms
彝,alt,𦇚,zh-forms
彝,alt,𦆩,zh-forms
彝,alt,𢇏,zh-forms
彝,alt,𧤋,zh-forms
彝,alt,𢁔,zh-forms
彝,alt,𢍵,zh-forms
彝,alt,𢑲,zh-forms
彝,alt,𦄳,zh-forms
往,alt,徃,zh-forms
往,alt,𢓸,zh-forms
往,alt,㞷,zh-forms
往,alt,𢔎,zh-forms
往,alt,迬,zh-forms
往,alt,𨓹,zh-forms
往,alt,徍,zh-forms
往,alt,𧗧,zh-forms
往,alt,望,zh-forms
往,alt,矼,zh-forms
征,alt,徰,zh-forms
征,Han simp:1,徵,Han simp
征,zh-see,徵,zh-see
從,s,从,zh-forms
從,alt,从,zh-forms
從,alt,𠚪,zh-forms
從,alt,従,zh-forms
從,alt,𬽡,zh-forms
徵,s,征,zh-forms
徵,alt,𢽠,zh-forms
德,alt,徳,zh-forms
德,alt,惪,zh-forms
德,alt,悳,zh-forms
德,alt,㥁,zh-forms
德,alt,恴,zh-forms
德,alt,㥀,zh-forms
德,alt,㤫,zh-forms
德,alt,𢛳,zh-forms
德,alt,𢜖,zh-forms
德,alt,𢠀,zh-forms
德,alt,𢤊,zh-forms
德,alt,𨗌,zh-forms
德,alt,𨗤,zh-forms
恟,alt,忷,zh-forms
悟,alt,寤,zh-forms
悟,alt,晤,zh-forms
悴,alt,顇,zh-forms
悴,alt,萃,zh-forms
悴,alt,忰,zh-forms
松,alt,枩,zh-forms
松,alt,柗,zh-forms
松,alt,梥,zh-forms
松,alt,枀,zh-forms
松,zh-see,鬆,zh-see
發,s,发,zh-forms
發,alt,発,zh-forms
發,alt,㢭,zh-forms
發,alt,𤼲,zh-forms
發,alt,𤼵,zh-forms
發,alt,彂,zh-forms
