title,file_base,raw_path,clean_path,categories,cjk_chars,sentences
一又一,一又一.txt,raw\一又一.txt,clean\一又一.txt,,27,2
一口香腸,一口香腸.txt,raw\一口香腸.txt,clean\一口香腸.txt,,79,4
一四〇年,一四〇年.txt,raw\一四〇年.txt,clean\一四〇年.txt,,33,3
一四九九年,一四九九年.txt,raw\一四九九年.txt,clean\一四九九年.txt,,191,15
一宮市,一宮市.txt,raw\一宮市.txt,clean\一宮市.txt,,201,10
一把青,一把青.txt,raw\一把青.txt,clean\一把青.txt,,63,3
一月〇日,一月〇日.txt,raw\一月〇日.txt,clean\一月〇日.txt,,29,2
一條兼良,一條兼良.txt,raw\一條兼良.txt,clean\一條兼良.txt,,247,26
一百單八將,一百單八將.txt,raw\一百單八將.txt,clean\一百單八將.txt,,346,11
一百年,一百年.txt,raw\一百年.txt,clean\一百年.txt,,41,4
一笑傾城,一笑傾城.txt,raw\一笑傾城.txt,clean\一笑傾城.txt,,37,1
一笑傾城 (電視劇),一笑傾城 (電視劇).txt,raw\一笑傾城 (電視劇).txt,clean\一笑傾城 (電視劇).txt,,96,7
一見鍾情,一見鍾情.txt,raw\一見鍾情.txt,clean\一見鍾情.txt,,69,1
一貫道,一貫道.txt,raw\一貫道.txt,clean\一貫道.txt,,436,20
一關市,一關市.txt,raw\一關市.txt,clean\一關市.txt,,247,11
丁,丁.txt,raw\丁.txt,clean\丁.txt,,78,8
丁 (釋義),丁 (釋義).txt,raw\丁 (釋義).txt,clean\丁 (釋義).txt,,50,5
丁丁乃人才也,丁丁乃人才也.txt,raw\丁丁乃人才也.txt,clean\丁丁乃人才也.txt,,79,3
丁丑,丁丑.txt,raw\丁丑.txt,clean\丁丑.txt,,50,4
丁丑 (竇建德),丁丑 (竇建德).txt,raw\丁丑 (竇建德).txt,clean\丁丑 (竇建德).txt,,137,10
丁亥中國雪災,丁亥中國雪災.txt,raw\丁亥中國雪災.txt,clean\丁亥中國雪災.txt,,323,16
丁亥無錫水荒,丁亥無錫水荒.txt,raw\丁亥無錫水荒.txt,clean\丁亥無錫水荒.txt,,104,6
