corpus_root,grouping,work,author,times,pages,chars,empty_pages,min_juan,max_juan,gaps,src
四庫全書,史部/別史類,尚史 (四庫全書本),,,107,1040392,0,1,107,0,四庫全書/index.csv
四庫全書,史部/別史類,後漢書補逸 (四庫全書本),,,21,169881,0,1,21,0,四庫全書/index.csv
四庫全書,史部/別史類,御定歴代紀事年表 (四庫全書本),,,100,41961,0,1,100,0,四庫全書/index.csv
四庫全書,史部/別史類,春秋戰國異辭 (四庫全書本),,,59,652237,1,1,59,0,四庫全書/index.csv
四庫全書,史部/別史類,東都事略 (四庫全書本),,,133,502212,0,1,133,0,四庫全書/index.csv
四庫全書,史部/別史類,欽定續通志 (四庫全書本),,,639,5001062,0,1,639,0,四庫全書/index.csv
四庫全書,史部/別史類,欽定重訂大金國志 (四庫全書本),,,42,162813,1,1,42,0,四庫全書/index.csv
四庫全書,史部/別史類,欽定重訂契丹國志 (四庫全書本),,,29,92230,0,1,29,0,四庫全書/index.csv
四庫全書,史部/別史類,"續後漢書 (蕭常, 四庫全書本)",,,48,197972,0,1,48,0,四庫全書/index.csv
四庫全書,史部/別史類,"續後漢書 (郝經, 四庫全書本)",,,129,911650,0,1,129,0,四庫全書/index.csv
四庫全書,史部/別史類,補歴代史表 (四庫全書本),,,53,14512,0,1,53,0,四庫全書/index.csv
四庫全書,史部/史評類,六朝通鑑博議 (四庫全書本),,,10,50957,0,1,10,0,四庫全書/index.csv
四庫全書,史部/史評類,厯代名賢確論 (四庫全書本),,,100,483241,0,1,100,0,四庫全書/index.csv
四庫全書,史部/史評類,史糾 (四庫全書本),,,6,46837,0,1,6,0,四庫全書/index.csv
四庫全書,史部/史評類,史纂通要 (四庫全書本),,,17,194489,0,1,17,0,四庫全書/index.csv
四庫全書,史部/史評類,史通通釋 (四庫全書本),,,20,258526,0,1,20,0,四庫全書/index.csv
四庫全書,史部/史評類,唐史論斷 (四庫全書本),,,3,34728,0,1,3,0,四庫全書/index.csv
四庫全書,史部/史評類,唐書直筆 (四庫全書本),,,4,22457,0,1,4,0,四庫全書/index.csv
四庫全書,史部/史評類,學史 (四庫全書本),,,13,67718,0,1,13,0,四庫全書/index.csv
四庫全書,史部/史評類,宋大事記講義 (四庫全書本),,,23,132861,0,1,23,0,四庫全書/index.csv
四庫全書,史部/史評類,御批續資治通鑑綱目 (四庫全書本),,,27,1005956,0,1,27,0,四庫全書/index.csv
四庫全書,史部/史評類,御批資治通鑑綱目 (四庫全書本),,,82,3101624,0,1,82,0,四庫全書/index.csv
四庫全書,史部/史評類,御批資治通鑑綱目前編 (四庫全書本),,,22,502496,0,1,22,0,四庫全書/index.csv
四庫全書,史部/史評類,經幄管見 (四庫全書本),,,4,27798,0,1,4,0,四庫全書/index.csv
四庫全書,史部/史評類,評鑑闡要 (四庫全書本),,,12,90921,0,1,12,0,四庫全書/index.csv
四庫全書,史部/史評類,通鑑答問 (四庫全書本),,,5,61164,0,1,5,0,四庫全書/index.csv
四庫全書,史部/史鈔類,兩漢博聞 (四庫全書本),,,12,97843,0,1,12,0,四庫全書/index.csv
四庫全書,史部/史鈔類,南北史識小録 (四庫全書本),,,16,209917,0,1,16,0,四庫全書/index.csv
四庫全書,史部/史鈔類,通鑑總類 (四庫全書本),,,38,600444,0,1,38,0,四庫全書/index.csv
四庫全書,史部/地理類/古蹟之屬,武林梵志 (四庫全書本),,,12,177973,0,1,12,0,四庫全書/index.csv
四庫全書,史部/地理類/古蹟之屬,江城名蹟 (四庫全書本),,,4,52205,0,1,4,0,四庫全書/index.csv
四庫全書,史部/地理類/古蹟之屬,汴京遺蹟志 (四庫全書本),,,24,180680,0,1,24,0,四庫全書/index.csv
四庫全書,史部/地理類/古蹟之屬,洛陽名園記 (四庫全書本),,,1,4615,0,1,1,0,四庫全書/index.csv
四庫全書,史部/地理類/古蹟之屬,洞霄圖志 (四庫全書本),,,6,34427,0,1,6,0,四庫全書/index.csv
四庫全書,史部/地理類/古蹟之屬,營平二州地名記 (四庫全書本),,,1,16812,0,1,1,0,四庫全書/index.csv
四庫全書,史部/地理類/古蹟之屬,石柱記箋釋 (四庫全書本),,,5,31601,0,1,5,0,四庫全書/index.csv
四庫全書,史部/地理類/古蹟之屬,金鼇退食筆記 (四庫全書本),,,2,18122,0,1,2,0,四庫全書/index.csv
四庫全書,史部/地理類/古蹟之屬,長安志 (四庫全書本),,,20,123870,0,1,20,0,四庫全書/index.csv
