cited_head,citations,leishu_count,leishu
文中子,55,12,古今事文類聚；古今源流至論；圖書編；太平御覽；小學紺珠；山堂肆考
徐廣,54,12,事物紀原；名賢氏族言行類稿；喻林；天中記；太平御覽；山堂肆考
括地圖,54,7,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；編珠
三輔黄圖,53,8,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；海録碎事
榖梁,53,6,事類賦；北堂書鈔；太平御覽；帝王經世圖譜；御定淵鑑𩔖函；白孔六帖
三輔决録,53,9,事類賦；元和姓纂；北堂書鈔；古今姓氏書辯證；名賢氏族言行類稿；太平御覽
郊特牲,53,8,北堂書鈔；天中記；太平御覽；御定淵鑑𩔖函；玉海；白孔六帖
左右,53,23,北堂書鈔；古今合璧事類備要；古今源流至論；名賢氏族言行類稿；喻林；天中記
太宗,53,20,古今事文類聚；古今合璧事類備要；名賢氏族言行類稿；圖書編；天中記；太平御覽
潛確類書,53,1,御定淵鑑𩔖函
燕丹子,52,6,事類賦；太平御覽；御定淵鑑𩔖函；白孔六帖；編珠；藝文類聚
正月詔,52,3,冊府元龜；御定分類字錦；御定淵鑑𩔖函
孔安國,52,11,初學記；圖書編；太平御覽；帝王經世圖譜；御定子史精華；御定淵鑑𩔖函
家語孔子,52,14,北堂書鈔；名賢氏族言行類稿；太平御覽；小學紺珠；山堂肆考；御定佩文韻府
素問帝,52,1,御定駢字類編
三輔故事,51,10,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；玉海
服䖍,51,13,古今事文類聚；喻林；天中記；太平御覽；御定佩文韻府；御定分類字錦
禮記孔子,51,7,御定佩文韻府；御定分類字錦；御定淵鑑𩔖函；御定韻府拾遺；御定駢字類編；格致鏡原
通鑑唐紀,51,1,御定淵鑑𩔖函
唐㑹要,50,5,事物紀原；北堂書鈔；太平御覽；御定淵鑑𩔖函；羣書考索
環濟要略,50,10,事物紀原；初學記；北堂書鈔；古今事文類聚；太平御覽；御定淵鑑𩔖函
春秋感精符,50,9,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；海録碎事
孫氏瑞應圖,50,5,事類賦；太平御覽；御定淵鑑𩔖函；海録碎事；藝文類聚
盛宏之荆州記,50,4,元和姓纂；太平御覽；御定淵鑑𩔖函；白孔六帖
晉灼,50,14,北堂書鈔；古今事文類聚；喻林；太平御覽；山堂肆考；御定分類字錦
詩古詩,50,2,御定淵鑑𩔖函；藝文類聚
雜記,49,11,事物紀原；事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函
禮含文嘉,49,7,事類賦；初學記；北堂書鈔；太平御覽；廣博物志；御定淵鑑𩔖函
三月詔,49,6,冊府元龜；厯代制度詳說；御定淵鑑𩔖函；御定韻府拾遺；御定駢字類編；玉海
六月詔,49,2,冊府元龜；太平御覽
趙孟,49,9,冊府元龜；古今事文類聚；古今合璧事類備要；天中記；太平御覽；御定韻府拾遺
列異傳,49,6,北堂書鈔；天中記；太平御覽；御定淵鑑𩔖函；玉海；藝文類聚
經濟𩔖編,49,1,御定淵鑑𩔖函
周處風土記,48,5,事類賦；初學記；太平御覽；御定淵鑑𩔖函；編珠
孝子傳,48,8,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；白孔六帖
公羊,48,12,事類賦；初學記；北堂書鈔；太平御覽；帝王經世圖譜；廣博物志
