page_number,final_label,initial_label,character,chars_raw,romanization,occurrence_count,manchu_script,source_chunk
6,ao,z,造,造,dzao,2,ᡯᠠᠣ,造 dzao 2
6,ao,z,糟,糟,dzao,,ᡯᠠᠣ,糟 dzao
6,ao,z,嘈,嘈,dzao,,ᡯᠠᠣ,嘈 dzao
6,ao,z,掻,掻,dzao,,ᡯᠠᠣ,掻 dzao
6,ao,c,草,草,ts’ao,,ᡨᠰᠠᠣ,草 ts’ao
6,ao,s,掃,掃,sao,2,ᠰᠠᠣ,掃 sao 2
6,ao,s,嫂,嫂,sao,,ᠰᠠᠣ,嫂 sao
6,ao,zh,趙,趙,jao,3,ᠵᠠᠣ,趙 jao 3
6,ao,zh,照,照,jao,2,ᠵᠠᠣ,照 jao 2
6,ao,zh,找,找,jao,,ᠵᠠᠣ,找 jao
6,ao,ch,抄,抄,cao,3,ᠴᠠᠣ,抄 cao 3
6,ao,ch,炒,炒,cao,,ᠴᠠᠣ,炒 cao
6,ao,sh,少,少,šao,8,ᡧᠠᠣ,少 šao 8
6,ao,sh,焼,焼,šao,2,ᡧᠠᠣ,焼 šao 2
6,ao,r,遶,遶,žao,,ᡰᠠᠣ,遶 žao
6,ao,r,擾,擾,žao,,ᡰᠠᠣ,擾 žao
6,ao,r,饒,饒,žao,,ᡰᠠᠣ,饒 žao
6,ao,g,告,告,g’ao,17,ᡬᠠᠣ,告 g’ao 17
6,ao,g,高,高,g’ao,5,ᡬᠠᠣ,高 g’ao 5
6,ao,k,考,考,k’ao,3,ᠺᠠᠣ,考 k’ao 3
6,ao,h,好,好,h’ao,71,ᡭᠠᠣ,好 h’ao 71
6,ao,h,号,号,h’ao,,ᡭᠠᠣ,号 h’ao
6,ao,∅,熬,熬,ao,,ᠠᠣ,熬 ao
6,iao,p,瓢,瓢,piyoo,2,ᡦᡳᠶᠣᠣ,瓢 piyoo 2
6,iao,d,吊,吊,diyao,,ᡩᡳᠶᠠᠣ,吊 diyao / diyoo
6,iao,d,吊,吊,diyoo,,ᡩᡳᠶᠣᠣ,吊 diyao / diyoo
6,iao,t,條,條,tiyoo,,ᡨᡳᠶᠣᠣ,條 tiyoo
6,iao,l,了,了,liyao,68,ᠯᡳᠶᠠᠣ,了 liyao 68 / liyoo 137
6,iao,l,了,了,liyoo,137,ᠯᡳᠶᠣᠣ,了 liyao 68 / liyoo 137
6,iao,l,撩,撩,liyoo,2,ᠯᡳᠶᠣᠣ,撩 liyoo 2
6,iao,l,料,料,liyoo,,ᠯᡳᠶᠣᠣ,料 liyoo
6,iao,j,叫,叫,giyao,14,ᡤᡳᠶᠠᠣ,叫 giyao 14 / giyoo 20
6,iao,j,叫,叫,giyoo,20,ᡤᡳᠶᠣᠣ,叫 giyao 14 / giyoo 20
6,iao,j,教,教,giyao,3,ᡤᡳᠶᠠᠣ,教 giyao 3 / giyoo 3
6,iao,j,教,教,giyoo,3,ᡤᡳᠶᠣᠣ,教 giyao 3 / giyoo 3
6,iao,j,交,交,giyao,,ᡤᡳᠶᠠᠣ,交 giyao
6,iao,j,較,較,giyao,,ᡤᡳᠶᠠᠣ,較 giyao
6,iao,j,嚼,嚼,giyao,,ᡤᡳᠶᠠᠣ,嚼 giyao
6,iao,j,脚,脚,giyoo,,ᡤᡳᠶᠣᠣ,脚 giyoo
6,iao,j,轎,轎,giyoo,,ᡤᡳᠶᠣᠣ,轎 giyoo
6,iao,q,睄,睄,kiyoo,9,ᡴᡳᠶᠣᠣ,睄 kiyoo 9
