glyph,moe_id,grade,canonical_moe_id,canonical_glyph
󰄓,A00048-022,附錄字 ,A00048,事
二,A00049,正字 ,A00049,二
𠄠,A00049-001,異體字 ,A00049,二
弍,A00049-002,異體字 ,A00049,二
𢎐,A00049-003,異體字 ,A00049,二
貳,A00049-004,異體字 ,A00049,二
于,A00050,正字 ,A00050,于
亏,A00050-001,異體字 ,A00050,于
󰄔,A00050-002,異體字 ,A00050,于
云,A00051,正字 ,A00051,云
井,A00052,正字 ,A00052,井
丼,A00052-001,異體字 ,A00052,井
󰄕,A00052-002,附錄字 ,A00052,井
互,A00053,正字 ,A00053,互
㸦,A00053-001,異體字 ,A00053,互
󰄖,A00053-002,異體字 ,A00053,互
󰄗,A00053-005,異體字 ,A00053,互
󰄘,A00053-005-1,異體字 ,A00053,互
五,A00054,正字 ,A00054,五
㐅,A00054-001,異體字 ,A00054,五
𠄡,A00054-002,異體字 ,A00054,五
󰄙,A00054-003,異體字 ,A00054,五
󰄚,A00054-004,異體字 ,A00054,五
󰄛,A00054-005,異體字 ,A00054,五
乂,A00054-006,異體字 ,A00054,五
󰄜,A00054-007,異體字 ,A00054,五
󰄝,A00054-008,異體字 ,A00054,五
󰄞,A00054-009,異體字 ,A00054,五
󰄟,A00054-010,異體字 ,A00054,五
伍,A00054-012,異體字 ,A00054,五
亙,A00055,正字 ,A00055,亙
亘,A00055-001,異體字 ,A00055,亙
𠄣,A00055-003,異體字 ,A00055,亙
㮓,A00055-006,異體字 ,A00055,亙
𣘰,A00055-007,異體字 ,A00055,亙
󰄠,A00055-008,異體字 ,A00055,亙
󰄡,A00055-010,異體字 ,A00055,亙
,A00055-011,異體字 ,A00055,亙
󰄢,A00055-012,異體字 ,A00055,亙
󰄣,A00055-013,異體字 ,A00055,亙
󰄤,A00055-014,異體字 ,A00055,亙
𦚹,A00055-015,異體字 ,A00055,亙
些,A00056,正字 ,A00056,些
㱔,A00056-001,異體字 ,A00056,些
𡭟,A00056-002,異體字 ,A00056,些
呰,A00056-003,異體字 ,A00056,些
󰄥,A00056-004,異體字 ,A00056,些
