polity_id	display_name	start_year	end_year	type	periods	english_name	english_page_title	ja_page_title	ja_name_source	raw_dates	interval_index	date_basis	region_en	province_en	review_status	notes
japan.yoshii	吉井藩	1682	1693	藩	江戸時代	Yoshii	Yoshii Domain	吉井藩	html_alternate_ja	1590-1610/1682-1693/1709-1871	2	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yoshii	吉井藩	1709	1871	藩	江戸時代;明治時代	Yoshii	Yoshii Domain	吉井藩	html_alternate_ja	1590-1610/1682-1693/1709-1871	3	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.annaka	安中藩	1615	1871	藩	江戸時代;明治時代	Annaka	Annaka Domain	安中藩	html_alternate_ja	1615-1871		polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.nanokaichi	七日市藩	1616	1871	藩	江戸時代;明治時代	Nanokaichi	Nanokaichi Domain	七日市藩	html_alternate_ja	1616-1871		polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.obata	小幡藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Obata	Obata Domain	小幡藩	html_alternate_ja	1590-1871		polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.koga	古河藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Koga	Koga Domain	古河藩	html_alternate_ja	1590-1871		polity	Kantō region	Shimōsa Province (Present-day Northern Chiba, Southeastern Ibaraki and West portion of the Edogawa River in Saitama Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yuki	結城藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Yūki	Yūki Domain	結城藩	html_alternate_ja	1590-1871		polity	Kantō region	Shimōsa Province (Present-day Northern Chiba, Southeastern Ibaraki and West portion of the Edogawa River in Saitama Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.sekiyado	関宿藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Sekiyado	Sekiyado Domain	関宿藩	html_alternate_ja	1590-1871		polity	Kantō region	Shimōsa Province (Present-day Northern Chiba, Southeastern Ibaraki and West portion of the Edogawa River in Saitama Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.takaoka	高岡藩	1640	1871	藩	江戸時代;明治時代	Takaoka	Takaoka Domain	高岡藩	html_alternate_ja	1640-1871		polity	Kantō region	Shimōsa Province (Present-day Northern Chiba, Southeastern Ibaraki and West portion of the Edogawa River in Saitama Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.omigawa	小見川藩	1594	1871	藩	安土桃山時代;江戸時代;明治時代	Omigawa	Omigawa Domain	小見川藩	html_alternate_ja	1594-1871		polity	Kantō region	Shimōsa Province (Present-day Northern Chiba, Southeastern Ibaraki and West portion of the Edogawa River in Saitama Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
